What is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,1
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,South Korea,2
What is the chemical symbol for water?,H2O,CO2,O2,N2,1
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Albert Einstein,2
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Nitrogen,2
What is the capital city of Australia?,Sydney,Canberra,Melbourne,Brisbane,2
Which language is primarily spoken in Brazil?,Spanish,Portuguese,French,English,2
Who painted the Mona Lisa?,Vincent Van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,2
Which planet is the largest in our solar system?,Mars,Jupiter,Saturn,Uranus,2
What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Silver,2
Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Stephen Hawking,2
What is the main gas found in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,2
Which continent is the Sahara Desert located in?,Asia,Africa,North America,Australia,2
Who is the author of 'Harry Potter'?,J.K. Rowling,Stephen King,Agatha Christie,George R.R. Martin,1
"Which instrument has keys, pedals, and strings?",,,,,
What is the boiling point of water at sea level in Celsius?,90,100,110,120,2
Which country has the largest population?,USA,China,India,Russia,2
What is the smallest country in the world?,Malta,Vatican City,Monaco,Liechtenstein,2
Which animal is known as the 'King of the Jungle'?,Tiger,Lion,Elephant,Cheetah,2
What is the longest bone in the human body?,Humerus,Femur,Tibia,Radius,2
Which sport is known as 'The Beautiful Game'?,Baseball,Football,Cricket,Basketball,2
What is the capital of Egypt?,Cairo,Alexandria,Giza,Luxor,1
Which planet has rings around it?,Mercury,Venus,Saturn,Mars,3
Who was the first person to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,1
What is the currency of Japan?,Euro,Yen,Dollar,Pound,2
Which ocean is Bermuda located in?,Atlantic,Pacific,Indian,Arctic,1
What is the largest organ in the human body?,Heart,Skin,Liver,Lungs,2
Who is known as the father of computers?,Alan Turing,Charles Babbage,Tim Berners-Lee,Steve Jobs,2
What color do you get by mixing red and white?,Pink,Purple,Orange,Brown,1
Which country is famous for the Eiffel Tower?,Italy,France,Germany,Spain,2
Which is the tallest building in the world as of 2025?,Empire State Building,Burj Khalifa,Shanghai Tower,Taipei 101,2
What is the capital city of Canada?,Toronto,Vancouver,Ottawa,Montreal,3
Which bird is known for its colorful tail feathers?,Peacock,Eagle,Sparrow,Parrot,1
What is the chemical formula for table salt?,NaCl,H2SO4,CO2,CaCO3,1
Which gas do humans need to breathe?,Nitrogen,Oxygen,Carbon Dioxide,Helium,2
What is the name of the largest desert in the world?,Sahara,Antarctic Desert,Gobi,Thar,2
Who painted the ceiling of the Sistine Chapel?,Donatello,Leonardo da Vinci,Michelangelo,Raphael,3
Which country gifted the Statue of Liberty to the USA?,England,France,Spain,Italy,2
What is the smallest planet in our solar system?,Mercury,Mars,Venus,Earth,1
Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin D,Vitamin C,Vitamin B12,2
What is the largest mammal in the world?,Elephant,Blue Whale,Hippopotamus,Giraffe,2
Which metal is liquid at room temperature?,Lead,Mercury,Gold,Silver,2
Which city hosted the 2016 Summer Olympics?,Rio de Janeiro,Tokyo,London,Beijing,1
What is the primary language spoken in Canada?,English,French,Both English and French,Spanish,3
What is the freezing point of water in Fahrenheit?,0,32,100,212,2
Which instrument is used to measure temperature?,Thermometer,Barometer,Hygrometer,Anemometer,1
What is the tallest mountain in Africa?,Kilimanjaro,Mount Kenya,Mount Elgon,Simien Mountains,1
Who wrote '1984'?,George Orwell,Aldous Huxley,Jules Verne,Mark Twain,1
What is the capital of Italy?,Rome,Milan,Naples,Turin,1
What planet is closest to the Sun?,Mercury,Venus,Mars,Jupiter,1
Which animal is known for changing its color?,Chameleon,Frog,Cat,Butterfly,1
