What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,2
Which of the following is a programming language?,HTML,HTTP,Python,SQL,3
What does RAM stand for?,Read Access Memory,Random Access Memory,Random Allocate Memory,Run Access Memory,2
Which data structure uses FIFO order?,Stack,Queue,Tree,Graph,2
Which company developed the Windows operating system?,Apple,Microsoft,Google,IBM,2
What symbol is used to denote a comment in Python?,#,//,<!-->,%,1
Which of the following is a relational database?,MySQL,JSON,Redis,MongoDB,1
Which part of a computer stores permanent data?,RAM,Cache,ROM,Registers,3
What does HTML stand for?,Hyper Text Markup Language,High Text Markup Language,Hyperlink and Text Mark Language,Home Tool Markup Language,1
Which sorting algorithm has the best average case time complexity?,Bubble Sort,Merge Sort,Selection Sort,Insertion Sort,2
What is the binary equivalent of the decimal number 10?,1010,1001,1110,1100,1
Which of these is not an operating system?,Linux,Windows,Python,macOS,3
Which protocol is used to send emails?,SMTP,FTP,HTTP,SSH,1
Which device is used to convert digital signals to analog?,Router,Switch,Modem,Hub,3
What does URL stand for?,Uniform Resource Locator,Uniform Reference Link,Unified Resource Locator,Universal Reference Locator,1
What is the time complexity of binary search?,O(n),O(n log n),O(log n),O(1),3
Which of these is not a loop in programming?,for,if,while,do-while,2
Which keyword is used to define a function in Python?,func,function,def,define,3
Which of the following is volatile memory?,ROM,Hard Disk,SSD,RAM,4
Which data structure uses LIFO order?,Stack,Queue,Heap,Linked List,1
Which of the following is a NoSQL database?,MySQL,PostgreSQL,MongoDB,SQLite,3
Which part of the computer executes instructions?,Monitor,CPU,Mouse,GPU,2
Which one is not a programming paradigm?,Object-Oriented,Functional,Procedural,Visual,4
Which company developed Java?,Microsoft,Apple,Sun Microsystems,Google,3
What does DNS stand for?,Digital Network System,Domain Name System,Domain Network Service,Data Naming Server,2
Which operator is used for exponentiation in Python?,^,**,*,++,2
Which layer of OSI model handles routing?,Data Link,Transport,Network,Session,3
What is the full form of SQL?,Structured Query Language,Simple Query Language,Sequential Query Logic,System Query Language,1
What is the default port for HTTP?,80,21,25,443,1
Which file extension is used for Python files?,.pyt,.py,.pt,.pn,2
Which of these is not a cloud platform?,AWS,GCP,Azure,SATA,4
What is the smallest unit of data in a computer?,Byte,Bit,Word,Kilobyte,2
Which of the following is not a component of a computer?,CPU,Compiler,RAM,Mouse,2
Which programming language is used for Android development?,PHP,Swift,Java,Kotlin,3
Which data structure is used for recursion?,Queue,Array,Stack,Linked List,3
Which is not a primary function of an operating system?,Memory Management,Compiler Design,Process Management,File Management,2
Which of these is not an input device?,Scanner,Keyboard,Speaker,Mouse,3
Which programming language is best for AI?,C++,Python,HTML,JavaScript,2
Which symbol is used for comments in C++?,#,//,<!-->,--,2
Which protocol is secure?,HTTP,SMTP,FTP,HTTPS,4
What does GUI stand for?,General User Interface,Graphical User Interface,Global User Interface,Graphical Universal Interface,2
Which sorting algorithm is the fastest on average?,Bubble Sort,Merge Sort,Insertion Sort,Selection Sort,2
Which of the following is a compiled language?,Python,Java,CSS,HTML,2
What does IDE stand for?,Integrated Development Environment,Internal Development Environment,Integrated Debugging Environment,Intelligent Design Environment,1
Which one is not a software license?,MIT,GPL,Apache,SSD,4
Which one is used to uniquely identify a record in a database?,Primary Key,Foreign Key,Index,View,1
Which device connects two networks?,Hub,Router,Switch,Repeater,2
What is the full form of USB?,Universal Standard Bus,Unified Serial Bus,Universal Serial Bus,Unlimited Serial Bus,3
Which one is not an HTTP method?,GET,POST,CONNECT,SEND,4
What is the full form of IP?,Internet Protocol,Internal Protocol,Internet Procedure,Input Protocol,1
